Geographic Area Name,County,State,Year,Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS ( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Median (dollars),( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars) per month,% of monthly Household Income Spent on Housing Cost
"Martin County, North Carolina",Martin County, North Carolina,2010,"$52,842.00 ",$946.00 ,"$4,403.50 ",21%
"Vance County, North Carolina",Vance County, North Carolina,2015,"$52,856.00 ","$1,020.00 ","$4,404.67 ",23%
"Anson County, North Carolina",Anson County, North Carolina,2016,"$52,863.00 ",$924.00 ,"$4,405.25 ",21%
"Orangeburg County, South Carolina",Orangeburg County, South Carolina,2011,"$52,879.00 ",$968.00 ,"$4,406.58 ",22%
"Marion County, South Carolina",Marion County, South Carolina,2012,"$52,885.00 ",$875.00 ,"$4,407.08 ",20%
"Alleghany County, North Carolina",Alleghany County, North Carolina,2018,"$52,888.00 ",$997.00 ,"$4,407.33 ",23%
"Chesterfield County, South Carolina",Chesterfield County, South Carolina,2012,"$52,989.00 ",$889.00 ,"$4,415.75 ",20%
"Mitchell County, North Carolina",Mitchell County, North Carolina,2013,"$53,063.00 ",$976.00 ,"$4,421.92 ",22%
"Martin County, North Carolina",Martin County, North Carolina,2017,"$53,160.00 ","$1,002.00 ","$4,430.00 ",23%
"Columbus County, North Carolina",Columbus County, North Carolina,2010,"$53,165.00 ","$1,043.00 ","$4,430.42 ",24%
"Hertford County, North Carolina",Hertford County, North Carolina,2014,"$53,180.00 ","$1,016.00 ","$4,431.67 ",23%
"Jasper County, South Carolina",Jasper County, South Carolina,2018,"$53,199.00 ","$1,190.00 ","$4,433.25 ",27%
"Chesterfield County, South Carolina",Chesterfield County, South Carolina,2011,"$53,211.00 ",$881.00 ,"$4,434.25 ",20%
"Jones County, North Carolina",Jones County, North Carolina,2017,"$53,229.00 ","$1,067.00 ","$4,435.75 ",24%
"Robeson County, North Carolina",Robeson County, North Carolina,2014,"$53,245.00 ","$1,009.00 ","$4,437.08 ",23%
"Richmond County, North Carolina",Richmond County, North Carolina,2011,"$53,251.00 ",$933.00 ,"$4,437.58 ",21%
"Tyrrell County, North Carolina",Tyrrell County, North Carolina,2017,"$53,276.00 ","$1,035.00 ","$4,439.67 ",23%
"Marion County, South Carolina",Marion County, South Carolina,2018,"$53,287.00 ",$920.00 ,"$4,440.58 ",21%
"Richmond County, North Carolina",Richmond County, North Carolina,2014,"$53,311.00 ",$945.00 ,"$4,442.58 ",21%
"Washington County, North Carolina",Washington County, North Carolina,2011,"$53,333.00 ","$1,069.00 ","$4,444.42 ",24%
"Barnwell County, South Carolina",Barnwell County, South Carolina,2011,"$53,351.00 ",$928.00 ,"$4,445.92 ",21%
"Vance County, North Carolina",Vance County, North Carolina,2011,"$53,413.00 ","$1,120.00 ","$4,451.08 ",25%
"Chester County, South Carolina",Chester County, South Carolina,2012,"$53,431.00 ",$922.00 ,"$4,452.58 ",21%
"Cherokee County, South Carolina",Cherokee County, South Carolina,2010,"$53,438.00 ",$925.00 ,"$4,453.17 ",21%
"Sampson County, North Carolina",Sampson County, North Carolina,2010,"$53,465.00 ",$967.00 ,"$4,455.42 ",22%
"Avery County, North Carolina",Avery County, North Carolina,2014,"$53,478.00 ","$1,044.00 ","$4,456.50 ",23%
"Duplin County, North Carolina",Duplin County, North Carolina,2012,"$53,531.00 ","$1,014.00 ","$4,460.92 ",23%
"Ashe County, North Carolina",Ashe County, North Carolina,2011,"$53,536.00 ","$1,017.00 ","$4,461.33 ",23%
"Wilkes County, North Carolina",Wilkes County, North Carolina,2015,"$53,547.00 ","$1,014.00 ","$4,462.25 ",23%
"Barnwell County, South Carolina",Barnwell County, South Carolina,2014,"$53,548.00 ",$949.00 ,"$4,462.33 ",21%
"Alleghany County, North Carolina",Alleghany County, North Carolina,2013,"$53,585.00 ","$1,098.00 ","$4,465.42 ",25%
"Washington County, North Carolina",Washington County, North Carolina,2012,"$53,594.00 ","$1,056.00 ","$4,466.17 ",24%
"Rutherford County, North Carolina",Rutherford County, North Carolina,2015,"$53,609.00 ",$940.00 ,"$4,467.42 ",21%
"Marion County, South Carolina",Marion County, South Carolina,2011,"$53,633.00 ",$876.00 ,"$4,469.42 ",20%
"Washington County, North Carolina",Washington County, North Carolina,2016,"$53,657.00 ",$977.00 ,"$4,471.42 ",22%
"Edgecombe County, North Carolina",Edgecombe County, North Carolina,2016,"$53,665.00 ","$1,012.00 ","$4,472.08 ",23%
"Caldwell County, North Carolina",Caldwell County, North Carolina,2015,"$53,672.00 ",$939.00 ,"$4,472.67 ",21%
"Martin County, North Carolina",Martin County, North Carolina,2016,"$53,697.00 ","$1,045.00 ","$4,474.75 ",23%
"McCormick County, South Carolina",McCormick County, South Carolina,2014,"$53,771.00 ",$983.00 ,"$4,480.92 ",22%
"Union County, South Carolina",Union County, South Carolina,2010,"$53,775.00 ",$917.00 ,"$4,481.25 ",20%
"Rutherford County, North Carolina",Rutherford County, North Carolina,2014,"$53,791.00 ",$957.00 ,"$4,482.58 ",21%
"Warren County, North Carolina",Warren County, North Carolina,2011,"$53,802.00 ","$1,059.00 ","$4,483.50 ",24%
"Colleton County, South Carolina",Colleton County, South Carolina,2016,"$53,816.00 ","$1,073.00 ","$4,484.67 ",24%
"Hampton County, South Carolina",Hampton County, South Carolina,2012,"$53,821.00 ",$895.00 ,"$4,485.08 ",20%
"Vance County, North Carolina",Vance County, North Carolina,2016,"$53,828.00 ","$1,034.00 ","$4,485.67 ",23%
"Wilkes County, North Carolina",Wilkes County, North Carolina,2011,"$53,848.00 ","$1,029.00 ","$4,487.33 ",23%
"Montgomery County, North Carolina",Montgomery County, North Carolina,2013,"$53,863.00 ","$1,018.00 ","$4,488.58 ",23%
"Fairfield County, South Carolina",Fairfield County, South Carolina,2011,"$53,895.00 ","$1,016.00 ","$4,491.25 ",23%
"Bladen County, North Carolina",Bladen County, North Carolina,2018,"$53,897.00 ","$1,024.00 ","$4,491.42 ",23%
"Yadkin County, North Carolina",Yadkin County, North Carolina,2014,"$53,922.00 ",$992.00 ,"$4,493.50 ",22%
"Chester County, South Carolina",Chester County, South Carolina,2015,"$53,951.00 ",$899.00 ,"$4,495.92 ",20%
"Chowan County, North Carolina",Chowan County, North Carolina,2012,"$53,987.00 ","$1,260.00 ","$4,498.92 ",28%
"Caldwell County, North Carolina",Caldwell County, North Carolina,2014,"$53,997.00 ",$952.00 ,"$4,499.75 ",21%
"Richmond County, North Carolina",Richmond County, North Carolina,2013,"$54,055.00 ",$954.00 ,"$4,504.58 ",21%
"Caldwell County, North Carolina",Caldwell County, North Carolina,2013,"$54,079.00 ",$955.00 ,"$4,506.58 ",21%
"Cherokee County, South Carolina",Cherokee County, South Carolina,2012,"$54,099.00 ",$929.00 ,"$4,508.25 ",21%
"Duplin County, North Carolina",Duplin County, North Carolina,2013,"$54,104.00 ","$1,014.00 ","$4,508.67 ",22%
"Martin County, North Carolina",Martin County, North Carolina,2011,"$54,121.00 ",$990.00 ,"$4,510.08 ",22%
"Warren County, North Carolina",Warren County, North Carolina,2013,"$54,125.00 ","$1,072.00 ","$4,510.42 ",24%
"Chester County, South Carolina",Chester County, South Carolina,2011,"$54,142.00 ",$906.00 ,"$4,511.83 ",20%
"Orangeburg County, South Carolina",Orangeburg County, South Carolina,2016,"$54,150.00 ","$1,011.00 ","$4,512.50 ",22%
"Cherokee County, South Carolina",Cherokee County, South Carolina,2014,"$54,152.00 ",$935.00 ,"$4,512.67 ",21%
"Greene County, North Carolina",Greene County, North Carolina,2013,"$54,184.00 ","$1,027.00 ","$4,515.33 ",23%
"Orangeburg County, South Carolina",Orangeburg County, South Carolina,2012,"$54,184.00 ",$994.00 ,"$4,515.33 ",22%
"McCormick County, South Carolina",McCormick County, South Carolina,2013,"$54,207.00 ","$1,002.00 ","$4,517.25 ",22%
"Perquimans County, North Carolina",Perquimans County, North Carolina,2011,"$54,213.00 ","$1,289.00 ","$4,517.75 ",29%
"Madison County, North Carolina",Madison County, North Carolina,2014,"$54,221.00 ","$1,176.00 ","$4,518.42 ",26%
"Richmond County, North Carolina",Richmond County, North Carolina,2012,"$54,289.00 ",$943.00 ,"$4,524.08 ",21%
"Martin County, North Carolina",Martin County, North Carolina,2015,"$54,303.00 ","$1,026.00 ","$4,525.25 ",23%
"Edgecombe County, North Carolina",Edgecombe County, North Carolina,2011,"$54,307.00 ","$1,034.00 ","$4,525.58 ",23%
"Abbeville County, South Carolina",Abbeville County, South Carolina,2010,"$54,331.00 ",$932.00 ,"$4,527.58 ",21%
"Macon County, North Carolina",Macon County, North Carolina,2015,"$54,331.00 ","$1,044.00 ","$4,527.58 ",23%
"Hertford County, North Carolina",Hertford County, North Carolina,2015,"$54,338.00 ",$967.00 ,"$4,528.17 ",21%
"Union County, South Carolina",Union County, South Carolina,2013,"$54,355.00 ",$878.00 ,"$4,529.58 ",19%
"Northampton County, North Carolina",Northampton County, North Carolina,2018,"$54,358.00 ","$1,064.00 ","$4,529.83 ",23%
"Cherokee County, South Carolina",Cherokee County, South Carolina,2013,"$54,395.00 ",$918.00 ,"$4,532.92 ",20%
"Ashe County, North Carolina",Ashe County, North Carolina,2010,"$54,406.00 ",$995.00 ,"$4,533.83 ",22%
"Lenoir County, North Carolina",Lenoir County, North Carolina,2011,"$54,410.00 ","$1,084.00 ","$4,534.17 ",24%
"Chester County, South Carolina",Chester County, South Carolina,2014,"$54,426.00 ",$934.00 ,"$4,535.50 ",21%
"Darlington County, South Carolina",Darlington County, South Carolina,2010,"$54,431.00 ",$884.00 ,"$4,535.92 ",19%
"Saluda County, South Carolina",Saluda County, South Carolina,2010,"$54,491.00 ",$934.00 ,"$4,540.92 ",21%
"Yadkin County, North Carolina",Yadkin County, North Carolina,2015,"$54,537.00 ","$1,002.00 ","$4,544.75 ",22%
"Halifax County, North Carolina",Halifax County, North Carolina,2013,"$54,562.00 ","$1,049.00 ","$4,546.83 ",23%
"Edgecombe County, North Carolina",Edgecombe County, North Carolina,2013,"$54,593.00 ","$1,031.00 ","$4,549.42 ",23%
"Alleghany County, North Carolina",Alleghany County, North Carolina,2016,"$54,667.00 ","$1,083.00 ","$4,555.58 ",24%
"Columbus County, North Carolina",Columbus County, North Carolina,2016,"$54,684.00 ","$1,054.00 ","$4,557.00 ",23%
"Rutherford County, North Carolina",Rutherford County, North Carolina,2016,"$54,692.00 ",$953.00 ,"$4,557.67 ",21%
"Alleghany County, North Carolina",Alleghany County, North Carolina,2017,"$54,696.00 ","$1,011.00 ","$4,558.00 ",22%
"Hoke County, North Carolina",Hoke County, North Carolina,2010,"$54,820.00 ","$1,148.00 ","$4,568.33 ",25%
"Vance County, North Carolina",Vance County, North Carolina,2017,"$54,832.00 ","$1,044.00 ","$4,569.33 ",23%
"Fairfield County, South Carolina",Fairfield County, South Carolina,2013,"$54,846.00 ","$1,042.00 ","$4,570.50 ",23%
"Allendale County, South Carolina",Allendale County, South Carolina,2018,"$54,886.00 ",$830.00 ,"$4,573.83 ",18%
"Union County, South Carolina",Union County, South Carolina,2016,"$54,889.00 ",$861.00 ,"$4,574.08 ",19%
"Edgecombe County, North Carolina",Edgecombe County, North Carolina,2017,"$54,986.00 ","$1,026.00 ","$4,582.17 ",22%
"Lee County, South Carolina",Lee County, South Carolina,2017,"$55,028.00 ",$963.00 ,"$4,585.67 ",21%
"Lenoir County, North Carolina",Lenoir County, North Carolina,2010,"$55,058.00 ","$1,045.00 ","$4,588.17 ",23%
"Edgecombe County, North Carolina",Edgecombe County, North Carolina,2015,"$55,087.00 ","$1,001.00 ","$4,590.58 ",22%
"Jones County, North Carolina",Jones County, North Carolina,2010,"$55,089.00 ","$1,051.00 ","$4,590.75 ",23%
"Swain County, North Carolina",Swain County, North Carolina,2011,"$55,118.00 ",$946.00 ,"$4,593.17 ",21%
"Saluda County, South Carolina",Saluda County, South Carolina,2011,"$55,135.00 ",$898.00 ,"$4,594.58 ",20%
"Barnwell County, South Carolina",Barnwell County, South Carolina,2010,"$55,172.00 ",$872.00 ,"$4,597.67 ",19%
"Union County, South Carolina",Union County, South Carolina,2015,"$55,191.00 ",$885.00 ,"$4,599.25 ",19%
"Greene County, North Carolina",Greene County, North Carolina,2015,"$55,213.00 ","$1,085.00 ","$4,601.08 ",24%
"Chowan County, North Carolina",Chowan County, North Carolina,2013,"$55,283.00 ","$1,297.00 ","$4,606.92 ",28%
"Madison County, North Carolina",Madison County, North Carolina,2013,"$55,332.00 ","$1,231.00 ","$4,611.00 ",27%
"Richmond County, North Carolina",Richmond County, North Carolina,2015,"$55,417.00 ",$908.00 ,"$4,618.08 ",20%
"Scotland County, North Carolina",Scotland County, North Carolina,2016,"$55,423.00 ","$1,010.00 ","$4,618.58 ",22%
"Hertford County, North Carolina",Hertford County, North Carolina,2016,"$55,529.00 ",$963.00 ,"$4,627.42 ",21%
"Burke County, North Carolina",Burke County, North Carolina,2010,"$55,538.00 ",$974.00 ,"$4,628.17 ",21%
"Laurens County, South Carolina",Laurens County, South Carolina,2010,"$55,543.00 ",$917.00 ,"$4,628.58 ",20%
"Abbeville County, South Carolina",Abbeville County, South Carolina,2017,"$55,547.00 ","$1,003.00 ","$4,628.92 ",22%
"Alleghany County, North Carolina",Alleghany County, North Carolina,2015,"$55,580.00 ","$1,039.00 ","$4,631.67 ",22%
"Perquimans County, North Carolina",Perquimans County, North Carolina,2010,"$55,648.00 ","$1,184.00 ","$4,637.33 ",26%
"Caldwell County, North Carolina",Caldwell County, North Carolina,2010,"$55,650.00 ",$959.00 ,"$4,637.50 ",21%
"Ashe County, North Carolina",Ashe County, North Carolina,2015,"$55,663.00 ",$995.00 ,"$4,638.58 ",21%
"Transylvania County, North Carolina",Transylvania County, North Carolina,2010,"$55,676.00 ","$1,111.00 ","$4,639.67 ",24%
"Fairfield County, South Carolina",Fairfield County, South Carolina,2012,"$55,717.00 ","$1,036.00 ","$4,643.08 ",22%
"Wilkes County, North Carolina",Wilkes County, North Carolina,2010,"$55,754.00 ","$1,018.00 ","$4,646.17 ",22%
"McDowell County, North Carolina",McDowell County, North Carolina,2015,"$55,758.00 ",$932.00 ,"$4,646.50 ",20%
"Lee County, South Carolina",Lee County, South Carolina,2018,"$55,767.00 ","$1,005.00 ","$4,647.25 ",22%
"Sampson County, North Carolina",Sampson County, North Carolina,2013,"$55,772.00 ","$1,060.00 ","$4,647.67 ",23%
"Alleghany County, North Carolina",Alleghany County, North Carolina,2014,"$55,817.00 ","$1,133.00 ","$4,651.42 ",24%
"Robeson County, North Carolina",Robeson County, North Carolina,2017,"$55,907.00 ",$964.00 ,"$4,658.92 ",21%
"Edgecombe County, North Carolina",Edgecombe County, North Carolina,2014,"$55,918.00 ","$1,009.00 ","$4,659.83 ",22%
"Chowan County, North Carolina",Chowan County, North Carolina,2011,"$55,938.00 ","$1,238.00 ","$4,661.50 ",27%
"Martin County, North Carolina",Martin County, North Carolina,2013,"$55,938.00 ","$1,030.00 ","$4,661.50 ",22%
"McDowell County, North Carolina",McDowell County, North Carolina,2014,"$55,952.00 ",$941.00 ,"$4,662.67 ",20%
"Hertford County, North Carolina",Hertford County, North Carolina,2017,"$55,992.00 ",$984.00 ,"$4,666.00 ",21%
"Montgomery County, North Carolina",Montgomery County, North Carolina,2014,"$56,021.00 ","$1,017.00 ","$4,668.42 ",22%
"McDowell County, North Carolina",McDowell County, North Carolina,2011,"$56,033.00 ",$898.00 ,"$4,669.42 ",19%
"Caldwell County, North Carolina",Caldwell County, North Carolina,2011,"$56,046.00 ",$981.00 ,"$4,670.50 ",21%
"Clarendon County, South Carolina",Clarendon County, South Carolina,2017,"$56,076.00 ","$1,010.00 ","$4,673.00 ",22%
"Wilkes County, North Carolina",Wilkes County, North Carolina,2016,"$56,081.00 ",$990.00 ,"$4,673.42 ",21%
"Burke County, North Carolina",Burke County, North Carolina,2011,"$56,127.00 ",$990.00 ,"$4,677.25 ",21%
"Bertie County, North Carolina",Bertie County, North Carolina,2018,"$56,131.00 ","$1,083.00 ","$4,677.58 ",23%
"Polk County, North Carolina",Polk County, North Carolina,2011,"$56,144.00 ","$1,186.00 ","$4,678.67 ",25%
"Mitchell County, North Carolina",Mitchell County, North Carolina,2017,"$56,151.00 ","$1,033.00 ","$4,679.25 ",22%
"McDowell County, North Carolina",McDowell County, North Carolina,2013,"$56,170.00 ",$942.00 ,"$4,680.83 ",20%
"Transylvania County, North Carolina",Transylvania County, North Carolina,2011,"$56,186.00 ","$1,121.00 ","$4,682.17 ",24%
"Caldwell County, North Carolina",Caldwell County, North Carolina,2016,"$56,192.00 ",$931.00 ,"$4,682.67 ",20%
"Duplin County, North Carolina",Duplin County, North Carolina,2015,"$56,222.00 ","$1,037.00 ","$4,685.17 ",22%
"McDowell County, North Carolina",McDowell County, North Carolina,2010,"$56,274.00 ",$857.00 ,"$4,689.50 ",18%
"Duplin County, North Carolina",Duplin County, North Carolina,2016,"$56,326.00 ","$1,044.00 ","$4,693.83 ",22%
"Tyrrell County, North Carolina",Tyrrell County, North Carolina,2018,"$56,337.00 ","$1,060.00 ","$4,694.75 ",23%
"Union County, South Carolina",Union County, South Carolina,2014,"$56,357.00 ",$882.00 ,"$4,696.42 ",19%
"Scotland County, North Carolina",Scotland County, North Carolina,2017,"$56,358.00 ",$998.00 ,"$4,696.50 ",21%
"McDowell County, North Carolina",McDowell County, North Carolina,2012,"$56,392.00 ",$949.00 ,"$4,699.33 ",20%
"Jackson County, North Carolina",Jackson County, North Carolina,2014,"$56,479.00 ","$1,143.00 ","$4,706.58 ",24%
"Caldwell County, North Carolina",Caldwell County, North Carolina,2012,"$56,555.00 ",$981.00 ,"$4,712.92 ",21%
"Edgecombe County, North Carolina",Edgecombe County, North Carolina,2012,"$56,633.00 ","$1,043.00 ","$4,719.42 ",22%
"Greene County, North Carolina",Greene County, North Carolina,2017,"$56,633.00 ","$1,052.00 ","$4,719.42 ",22%
"Warren County, North Carolina",Warren County, North Carolina,2012,"$56,633.00 ","$1,081.00 ","$4,719.42 ",23%
"Greene County, North Carolina",Greene County, North Carolina,2016,"$56,639.00 ","$1,033.00 ","$4,719.92 ",22%
"Cleveland County, North Carolina",Cleveland County, North Carolina,2010,"$56,667.00 ","$1,026.00 ","$4,722.25 ",22%
"Anson County, North Carolina",Anson County, North Carolina,2017,"$56,688.00 ",$964.00 ,"$4,724.00 ",20%
"Transylvania County, North Carolina",Transylvania County, North Carolina,2012,"$56,767.00 ","$1,069.00 ","$4,730.58 ",23%
"McDowell County, North Carolina",McDowell County, North Carolina,2016,"$56,774.00 ",$904.00 ,"$4,731.17 ",19%
"Madison County, North Carolina",Madison County, North Carolina,2015,"$56,776.00 ","$1,156.00 ","$4,731.33 ",24%
"Barnwell County, South Carolina",Barnwell County, South Carolina,2012,"$56,778.00 ",$939.00 ,"$4,731.50 ",20%
"Washington County, North Carolina",Washington County, North Carolina,2013,"$56,778.00 ","$1,061.00 ","$4,731.50 ",22%
"Lenoir County, North Carolina",Lenoir County, North Carolina,2012,"$56,784.00 ","$1,076.00 ","$4,732.00 ",23%
"Chowan County, North Carolina",Chowan County, North Carolina,2014,"$56,811.00 ","$1,312.00 ","$4,734.25 ",28%
"Caswell County, North Carolina",Caswell County, North Carolina,2013,"$56,839.00 ",$974.00 ,"$4,736.58 ",21%
"Chesterfield County, South Carolina",Chesterfield County, South Carolina,2016,"$56,857.00 ",$905.00 ,"$4,738.08 ",19%
"Rockingham County, North Carolina",Rockingham County, North Carolina,2010,"$56,871.00 ",$991.00 ,"$4,739.25 ",21%
"Macon County, North Carolina",Macon County, North Carolina,2016,"$56,902.00 ","$1,037.00 ","$4,741.83 ",22%
"Yadkin County, North Carolina",Yadkin County, North Carolina,2012,"$56,903.00 ","$1,015.00 ","$4,741.92 ",21%
"Chesterfield County, South Carolina",Chesterfield County, South Carolina,2017,"$56,916.00 ",$925.00 ,"$4,743.00 ",20%
"Columbus County, North Carolina",Columbus County, North Carolina,2017,"$56,929.00 ","$1,032.00 ","$4,744.08 ",22%
"Abbeville County, South Carolina",Abbeville County, South Carolina,2011,"$56,932.00 ",$973.00 ,"$4,744.33 ",21%
"Gates County, North Carolina",Gates County, North Carolina,2010,"$56,964.00 ","$1,097.00 ","$4,747.00 ",23%
"Cherokee County, South Carolina",Cherokee County, South Carolina,2018,"$56,985.00 ",$953.00 ,"$4,748.75 ",20%
"Halifax County, North Carolina",Halifax County, North Carolina,2014,"$56,993.00 ","$1,068.00 ","$4,749.42 ",22%
"Burke County, North Carolina",Burke County, North Carolina,2012,"$57,028.00 ",$997.00 ,"$4,752.33 ",21%
"Colleton County, South Carolina",Colleton County, South Carolina,2017,"$57,041.00 ","$1,097.00 ","$4,753.42 ",23%
"Mitchell County, North Carolina",Mitchell County, North Carolina,2016,"$57,066.00 ",$998.00 ,"$4,755.50 ",21%
"Surry County, North Carolina",Surry County, North Carolina,2015,"$57,094.00 ","$1,029.00 ","$4,757.83 ",22%
"Burke County, North Carolina",Burke County, North Carolina,2016,"$57,099.00 ",$980.00 ,"$4,758.25 ",21%
"Rockingham County, North Carolina",Rockingham County, North Carolina,2011,"$57,119.00 ","$1,019.00 ","$4,759.92 ",21%
"Polk County, North Carolina",Polk County, North Carolina,2010,"$57,144.00 ","$1,123.00 ","$4,762.00 ",24%
"Yancey County, North Carolina",Yancey County, North Carolina,2015,"$57,145.00 ","$1,024.00 ","$4,762.08 ",22%
"Calhoun County, South Carolina",Calhoun County, South Carolina,2010,"$57,147.00 ",$996.00 ,"$4,762.25 ",21%
"Cherokee County, South Carolina",Cherokee County, South Carolina,2017,"$57,150.00 ",$949.00 ,"$4,762.50 ",20%
"Hoke County, North Carolina",Hoke County, North Carolina,2011,"$57,184.00 ","$1,201.00 ","$4,765.33 ",25%
"Rockingham County, North Carolina",Rockingham County, North Carolina,2012,"$57,203.00 ","$1,006.00 ","$4,766.92 ",21%
"Duplin County, North Carolina",Duplin County, North Carolina,2014,"$57,213.00 ","$1,045.00 ","$4,767.75 ",22%
"Perquimans County, North Carolina",Perquimans County, North Carolina,2015,"$57,232.00 ","$1,341.00 ","$4,769.33 ",28%
"Person County, North Carolina",Person County, North Carolina,2015,"$57,280.00 ","$1,083.00 ","$4,773.33 ",23%
"Montgomery County, North Carolina",Montgomery County, North Carolina,2015,"$57,284.00 ",$989.00 ,"$4,773.67 ",21%
"Yadkin County, North Carolina",Yadkin County, North Carolina,2010,"$57,301.00 ","$1,018.00 ","$4,775.08 ",21%
"Polk County, North Carolina",Polk County, North Carolina,2014,"$57,350.00 ","$1,165.00 ","$4,779.17 ",24%
"Perquimans County, North Carolina",Perquimans County, North Carolina,2012,"$57,354.00 ","$1,362.00 ","$4,779.50 ",28%
"Madison County, North Carolina",Madison County, North Carolina,2017,"$57,358.00 ","$1,184.00 ","$4,779.83 ",25%
"Alexander County, North Carolina",Alexander County, North Carolina,2011,"$57,364.00 ",$990.00 ,"$4,780.33 ",21%
"Laurens County, South Carolina",Laurens County, South Carolina,2013,"$57,371.00 ",$955.00 ,"$4,780.92 ",20%
"Yadkin County, North Carolina",Yadkin County, North Carolina,2013,"$57,396.00 ","$1,046.00 ","$4,783.00 ",22%
"Abbeville County, South Carolina",Abbeville County, South Carolina,2013,"$57,404.00 ","$1,008.00 ","$4,783.67 ",21%
"Laurens County, South Carolina",Laurens County, South Carolina,2011,"$57,447.00 ",$946.00 ,"$4,787.25 ",20%
"Fairfield County, South Carolina",Fairfield County, South Carolina,2014,"$57,455.00 ","$1,048.00 ","$4,787.92 ",22%
"Greene County, North Carolina",Greene County, North Carolina,2014,"$57,529.00 ","$1,067.00 ","$4,794.08 ",22%
"Chowan County, North Carolina",Chowan County, North Carolina,2018,"$57,560.00 ","$1,189.00 ","$4,796.67 ",25%
"Surry County, North Carolina",Surry County, North Carolina,2014,"$57,563.00 ","$1,032.00 ","$4,796.92 ",22%
"Jackson County, North Carolina",Jackson County, North Carolina,2012,"$57,576.00 ","$1,134.00 ","$4,798.00 ",24%
"Avery County, North Carolina",Avery County, North Carolina,2018,"$57,578.00 ","$1,068.00 ","$4,798.17 ",22%
"Caswell County, North Carolina",Caswell County, North Carolina,2012,"$57,609.00 ",$983.00 ,"$4,800.75 ",20%
"Abbeville County, South Carolina",Abbeville County, South Carolina,2016,"$57,624.00 ","$1,027.00 ","$4,802.00 ",21%
"Sumter County, South Carolina",Sumter County, South Carolina,2010,"$57,648.00 ",$984.00 ,"$4,804.00 ",20%
"Hampton County, South Carolina",Hampton County, South Carolina,2013,"$57,656.00 ",$923.00 ,"$4,804.67 ",19%
"Barnwell County, South Carolina",Barnwell County, South Carolina,2015,"$57,717.00 ",$938.00 ,"$4,809.75 ",20%
"Jones County, North Carolina",Jones County, North Carolina,2011,"$57,778.00 ","$1,057.00 ","$4,814.83 ",22%
"Yancey County, North Carolina",Yancey County, North Carolina,2016,"$57,798.00 ",$965.00 ,"$4,816.50 ",20%
"Dillon County, South Carolina",Dillon County, South Carolina,2017,"$57,817.00 ",$858.00 ,"$4,818.08 ",18%
"Vance County, North Carolina",Vance County, North Carolina,2014,"$57,824.00 ","$1,049.00 ","$4,818.67 ",22%
"Gates County, North Carolina",Gates County, North Carolina,2011,"$57,844.00 ","$1,189.00 ","$4,820.33 ",25%
"Columbus County, North Carolina",Columbus County, North Carolina,2018,"$57,866.00 ","$1,055.00 ","$4,822.17 ",22%
"Abbeville County, South Carolina",Abbeville County, South Carolina,2015,"$57,898.00 ",$985.00 ,"$4,824.83 ",20%
"Burke County, North Carolina",Burke County, North Carolina,2015,"$57,914.00 ",$976.00 ,"$4,826.17 ",20%
"Burke County, North Carolina",Burke County, North Carolina,2013,"$57,922.00 ","$1,001.00 ","$4,826.83 ",21%
"Swain County, North Carolina",Swain County, North Carolina,2017,"$57,923.00 ","$1,043.00 ","$4,826.92 ",22%
"Caswell County, North Carolina",Caswell County, North Carolina,2015,"$57,984.00 ",$999.00 ,"$4,832.00 ",21%
"Richmond County, North Carolina",Richmond County, North Carolina,2016,"$57,994.00 ",$924.00 ,"$4,832.83 ",19%
"Colleton County, South Carolina",Colleton County, South Carolina,2018,"$58,013.00 ","$1,127.00 ","$4,834.42 ",23%
"Laurens County, South Carolina",Laurens County, South Carolina,2014,"$58,030.00 ",$926.00 ,"$4,835.83 ",19%
"Horry County, South Carolina",Horry County, South Carolina,2014,"$58,036.00 ","$1,236.00 ","$4,836.33 ",26%
"Pamlico County, North Carolina",Pamlico County, North Carolina,2010,"$58,071.00 ","$1,207.00 ","$4,839.25 ",25%
"Sampson County, North Carolina",Sampson County, North Carolina,2015,"$58,078.00 ","$1,042.00 ","$4,839.83 ",22%
"Martin County, North Carolina",Martin County, North Carolina,2012,"$58,147.00 ","$1,030.00 ","$4,845.58 ",21%
"Pamlico County, North Carolina",Pamlico County, North Carolina,2013,"$58,147.00 ","$1,237.00 ","$4,845.58 ",26%
"Chowan County, North Carolina",Chowan County, North Carolina,2017,"$58,177.00 ","$1,189.00 ","$4,848.08 ",25%
"Laurens County, South Carolina",Laurens County, South Carolina,2012,"$58,181.00 ",$947.00 ,"$4,848.42 ",20%
"Jackson County, North Carolina",Jackson County, North Carolina,2013,"$58,198.00 ","$1,142.00 ","$4,849.83 ",24%
"Sampson County, North Carolina",Sampson County, North Carolina,2014,"$58,205.00 ","$1,041.00 ","$4,850.42 ",21%
"Surry County, North Carolina",Surry County, North Carolina,2011,"$58,205.00 ","$1,040.00 ","$4,850.42 ",21%
"Rockingham County, North Carolina",Rockingham County, North Carolina,2013,"$58,206.00 ","$1,014.00 ","$4,850.50 ",21%
